Rk,Player,Pos,Country_Code,Squad,Age,Born,90s,Gls,Sh,SoT
444,Seraina Piubel,MF|FW,CH,Switzerland,23,2000,3.7,1,5,3
447,Alexandra Popp,FW|MF,DE,Germany,32,1991,2.9,4,14,7
448,Atlanta Primus,MF|FW,JM,Jamaica,26,1997,3.2,0,6,0
461,Dominique Randle,DF|MF,PH,Philippines,28,1994,0.6,0,0,0
471,Marcela Restrepo,MF|FW,CO,Colombia,24,1999,0.2,0,0,0
476,Indiah-Paige Riley,MF|FW,NZ,New Zealand,21,2001,2,0,3,1
482,Yamila Rodríguez,FW|MF,AR,Argentina,25,1998,0.6,0,1,0
483,Fridolina Rolfö,FW|MF,SE,Sweden,29,1993,5.5,3,10,3
491,Johanna Rytting Kaneryd,FW|DF,SE,Sweden,26,1997,5.6,0,2,1
501,Leicy Santos,MF|FW,CO,Colombia,27,1996,4.2,1,9,3
505,Olivia Schough,FW|MF,SE,Sweden,32,1991,1.4,0,3,1
506,Lea Schüller,FW|MF,DE,Germany,25,1997,1.6,1,4,1
510,Kiko Seike,DF|MF,JP,Japan,26,1996,0.5,0,3,2
512,Linda Sembrant,DF|FW,SE,Sweden,36,1987,0.3,0,0,0
515,Jermaine Seoposenwe,FW|MF,ZA,South Africa,29,1993,3.3,0,4,2
522,Marissa Sheva,FW|DF,IE,Rep. of Ireland,26,1997,1.1,0,0,0
523,Risa Shimizu,MF|DF,JP,Japan,26,1996,4.6,1,5,1
525,Wang Shuang,FW|MF,CN,China PR,28,1995,1.8,2,3,1
529,Kameron Simmonds,FW|MF,JM,Jamaica,19,2003,0.2,0,0,0
530,Christine Sinclair,FW|MF,CA,Canada,40,1983,1.8,0,3,2
550,Hina Sugita,DF|MF,JP,Japan,26,1997,1.6,0,0,0
557,Karina Sævik,FW|MF,NO,Norway,27,1996,0.8,0,2,1
559,Nicoline Sørensen,FW|MF,DK,Denmark,25,1997,1.6,0,0,0
564,Riley Tanner,FW|MF,PA,Panama,23,1999,2.3,0,3,1
566,Meriame Terchoun,FW|MF,CH,Switzerland,27,1995,0.6,0,3,2
578,Janni Thomsen,DF|FW,DK,Denmark,23,2000,3.9,0,2,0
588,Catalina Usme,FW|MF,CO,Colombia,33,1989,5,2,7,2
597,Gloriana Villalobos,MF|FW,CR,Costa Rica,23,1999,2.1,0,2,1
598,Cortnee Vine,MF|DF,AU,Australia,25,1998,2.8,0,4,3
602,Solai Washington,MF|FW,JM,Jamaica,17,2005,0.4,0,1,0
603,Yao Wei,DF|MF,CN,China PR,25,1997,3,0,1,0
606,Lynn Wilms,DF|FW,NL,Netherlands,22,2000,0.7,0,0,0
609,Zhang Xin,FW|MF,CN,China PR,31,1992,1.1,0,0,0
612,Gu Yasha,MF|FW,CN,China PR,32,1990,0.2,0,0,0
616,Choe Yu-ri,MF|FW,KR,Korea Republic,28,1994,2.4,0,3,1
