Rk,Player,Pos,Country_Code,Squad,Age,Born,90s,Gls,Sh,SoT,shots_conv_rate,shots_on_target_conv_rate
308,Cloé Lacasse,FW,CA,Canada,29,1993,1.4,0,4,0,0.0,0.0
309,Anissa Lahmari,FW,MA,Morocco,26,1997,2.2,1,2,1,0.5,1.0
310,Maëlle Lakrar,DF,FR,France,23,2000,4.3,1,9,2,0.111,0.5
311,Abbie Larkin,FW|MF,IE,Rep. of Ireland,18,2005,0.9,0,2,0,0.0,0.0
312,Mariana Larroquette,FW,AR,Argentina,30,1992,2.6,0,6,1,0.0,0.0
313,Lena Lattwein,MF,DE,Germany,23,2000,0.6,0,1,1,0.0,0.0
314,Lauren,DF,BR,Brazil,20,2002,2,0,1,0,0.0,0.0
315,Rose Lavelle,MF,US,USA,28,1995,1.8,0,3,1,0.0,0.0
316,Ashley Lawrence,DF,CA,Canada,28,1995,3,0,1,0,0.0,0.0
317,Léa Le Garrec,MF,FR,France,29,1993,1,1,5,2,0.2,0.5
318,Eugénie Le Sommer,FW,FR,France,34,1989,3.9,3,13,9,0.231,0.333
319,Alisha Lehmann,MF,CH,Switzerland,24,1999,0.5,0,1,0,0.0,0.0
320,Stina Lennartsson,DF,SE,Sweden,26,1997,1,0,0,0,0.0,0.0
321,Martina Lenzini,DF,IT,Italy,24,1998,0.4,0,0,0,0.0,0.0
322,Adriana Leon,FW,CA,Canada,30,1992,2,1,5,1,0.2,1.0
323,Letícia Izidoro,GK,BR,Brazil,28,1994,3,0,0,0,0.0,0.0
324,Melanie Leupolz,MF,DE,Germany,29,1994,0.7,0,0,0,0.0,0.0
325,Jennyfer Limage,DF,HT,Haiti,25,1997,0.3,0,0,0,0.0,0.0
326,Yang Lina,MF,CN,China PR,29,1994,3,0,4,1,0.0,0.0
327,Elena Linari,DF,IT,Italy,29,1994,3,0,2,1,0.0,0.0
328,Yao Lingwei,MF,CN,China PR,27,1995,1.9,0,0,0,0.0,0.0
329,Trần Thị Hải Linh,MF,VN,Vietnam,22,2001,2.3,0,2,0,0.0,0.0
330,Wang Linlin,FW,CN,China PR,22,2000,0,0,0,0,0.0,0.0
331,Zhang Linyan,MF|FW,CN,China PR,22,2001,3,0,4,2,0.0,0.0
332,Ruesha Littlejohn,MF,IE,Rep. of Ireland,32,1990,2.7,0,0,0,0.0,0.0
333,Sydney Lohmann,FW,DE,Germany,22,2000,0.3,0,2,0,0.0,0.0
334,Hali Long,DF,PH,Philippines,28,1995,3,0,1,0,0.0,0.0
335,Annalie Longo,MF,NZ,New Zealand,31,1991,1.2,0,2,0,0.0,0.0
336,Érica Lonigro,FW,AR,Argentina,28,1994,0.4,0,3,1,0.0,0.0
337,Batcheba Louis,FW,HT,Haiti,25,1997,2.7,0,2,1,0.0,0.0
338,Kethna Louis,DF,HT,Haiti,26,1996,3,0,1,0,0.0,0.0
339,Luana,MF,BR,Brazil,30,1993,2.7,0,6,2,0.0,0.0
340,Ireen Lungu,MF,ZM,Zambia,25,1997,1.8,0,0,0,0.0,0.0
341,Frida Maanum,MF,NO,Norway,23,1999,2.9,0,9,2,0.0,0.0
342,Rikke Madsen,FW|DF,DK,Denmark,25,1997,2.4,0,4,2,0.0,0.0
343,Hildah Magaia,FW|MF,ZA,South Africa,28,1994,3.6,2,6,4,0.333,0.5
344,Lina Magull,MF,DE,Germany,28,1994,1.4,0,2,0,0.0,0.0
345,Amel Majri,MF,FR,France,30,1993,1.2,0,2,0,0.0,0.0
346,Tiisetso Makhubela,DF|MF,ZA,South Africa,26,1997,1,0,0,0,0.0,0.0
347,Xiomara Mapepa,MF|FW,ZM,Zambia,,,1.3,0,0,0,0.0,0.0
348,Joana Marchão,DF,PT,Portugal,26,1996,1,0,2,0,0.0,0.0
349,Noelle Maritz,DF,CH,Switzerland,27,1995,4,0,1,0,0.0,0.0
350,Marta,FW|MF,BR,Brazil,37,1986,1.1,0,4,3,0.0,0.0
351,Lieke Martens,FW,NL,Netherlands,30,1992,5.3,1,21,8,0.048,0.125
352,Lara Marti,DF,CH,Switzerland,23,1999,0.1,0,0,0,0.0,0.0
353,Clara Matéo,FW|MF,FR,France,25,1997,1.7,0,2,0,0.0,0.0
354,Ruthny Mathurin,DF,HT,Haiti,22,2001,1.6,0,0,0,0.0,0.0
355,Noko Matlou,DF,ZA,South Africa,37,1985,2,0,0,0,0.0,0.0
356,Cheyna Matthews,MF|FW,JM,Jamaica,29,1993,1.6,0,2,1,0.0,0.0
357,Sandrine Mauron,MF,CH,Switzerland,26,1996,0.9,0,0,0,0.0,0.0
358,Miriam Mayorga,DF,AR,Argentina,33,1989,2,0,0,0,0.0,0.0
359,Bambanani Mbane,DF,ZA,South Africa,33,1990,3.5,0,1,1,0.0,0.0
360,Katie McCabe,MF|DF,IE,Rep. of Ireland,27,1995,3,1,6,2,0.167,0.5
361,Chandler McDaniel,FW,PH,Philippines,25,1998,0.3,0,0,0,0.0,0.0
362,Olivia McDaniel,GK,PH,Philippines,25,1997,3,0,0,0,0.0,0.0
363,Kayla McKenna,FW,JM,Jamaica,26,1996,0.9,0,0,0,0.0,0.0
364,Peyton McNamara,MF,JM,Jamaica,21,2002,0.2,0,1,1,0.0,0.0
365,Carolina Mendes,FW,PT,Portugal,35,1987,0.2,0,1,0,0.0,0.0
366,Li Mengwen,DF,CN,China PR,28,1995,2.8,0,1,0,0.0,0.0
367,Shen Mengyu,MF|FW,CN,China PR,21,2001,0.2,0,1,0,0.0,0.0
368,Kristie Mewis,MF,US,USA,32,1991,0,0,0,0,0.0,0.0
369,Moon Mi-ra,DF|FW,KR,Korea Republic,31,1992,0.6,0,1,0,0.0,0.0
370,Aurora Mikalsen,GK,NO,Norway,27,1996,4,0,0,0,0.0,0.0
371,Natalia Mills,MF|FW,PA,Panama,30,1993,0.7,0,0,0,0.0,0.0
372,Moeka Minami,DF,JP,Japan,24,1998,5,0,0,0,0.0,0.0
373,Shiori Miyake,DF,JP,Japan,27,1995,1,0,1,0,0.0,0.0
374,Hinata Miyazawa,FW|MF,JP,Japan,23,1999,3.7,5,13,6,0.385,0.833
375,Maren Mjelde,DF,NO,Norway,33,1989,4,0,2,1,0.0,0.0
376,Gift Monday,FW,NG,Nigeria,21,2001,0.3,0,0,0,0.0,0.0
377,Nérilia Mondésir,FW,HT,Haiti,24,1999,3,0,7,1,0.0,0.0
378,Mônica,DF,BR,Brazil,45,1978,0.1,0,1,0,0.0,0.0
379,Carmen Montenegro,MF|DF,PA,Panama,22,2000,0.9,0,0,0,0.0,0.0
380,Daniela Montoya,MF,CO,Colombia,32,1990,2.4,0,2,1,0.0,0.0
381,Robyn Moodaly,MF,ZA,South Africa,28,1994,0.5,0,1,0,0.0,0.0
382,Patrícia Morais,GK,PT,Portugal,30,1992,1,0,0,0,0.0,0.0
383,Alex Morgan,FW,US,USA,33,1989,3.8,0,16,4,0.0,0.0
384,Miyabi Moriya,MF|DF,JP,Japan,26,1996,0.4,0,0,0,0.0,0.0
385,Maudeline Moryl,MF,HT,Haiti,20,2003,0.5,0,0,0,0.0,0.0
386,Linda Motlhalo,MF|FW,ZA,South Africa,24,1998,3.6,1,4,2,0.25,0.5
387,Yasmin Mrabet,DF,MA,Morocco,23,1999,0.9,0,0,0,0.0,0.0
388,Hellen Mubanga,MF,ZM,Zambia,28,1995,0,0,0,0,0.0,0.0
389,Agness Musase,DF,ZM,Zambia,25,1997,3,0,0,0,0.0,0.0
390,Catherine Musonda,GK,ZM,Zambia,25,1998,2,0,0,0,0.0,0.0
391,Zećira Mušović,GK,SE,Sweden,27,1996,6.3,0,0,0,0.0,0.0
392,Lushomo Mweemba,DF,ZM,Zambia,22,2001,2.7,1,1,1,1.0,1.0
393,Lê Thị Diễm My,DF,VN,Vietnam,26,1996,3,0,0,0,0.0,0.0
394,Alyssa Naeher,GK,US,USA,35,1988,4.3,0,0,0,0.0,0.0
395,Fūka Nagano,MF,JP,Japan,24,1999,3.7,0,2,1,0.0,0.0
396,Élodie Nakkach,MF,MA,Morocco,28,1995,3.5,0,1,0,0.0,0.0
397,Hikaru Naomoto,MF|FW,JP,Japan,29,1994,2,1,7,4,0.143,0.25
398,Wendy Natis,DF,PA,Panama,20,2002,2.2,0,2,1,0.0,0.0
399,Eva Navarro,FW,ES,Spain,22,2001,1.6,0,4,2,0.0,0.0
400,Kika Nazareth,MF,PT,Portugal,20,2002,1.7,1,5,2,0.2,0.5
401,Courtney Nevin,DF,AU,Australia,21,2002,0.2,0,0,0,0.0,0.0
402,Nguyễn Thị Thanh Nhã,MF,VN,Vietnam,21,2001,2,0,1,0,0.0,0.0
403,Huỳnh Như,FW,VN,Vietnam,31,1991,2,0,0,0,0.0,0.0
404,Chiamaka Nnadozie,GK,NG,Nigeria,22,2000,4.3,0,0,0,0.0,0.0
405,Andreia Norton,MF,PT,Portugal,26,1996,2,0,2,0,0.0,0.0
406,Aniek Nouwen,DF,NL,Netherlands,24,1999,0.9,0,0,0,0.0,0.0
407,Romina Núñez,MF|FW,AR,Argentina,29,1994,2.3,1,2,1,0.5,1.0
408,Sjoeke Nüsken,DF,DE,Germany,22,2001,0.5,0,0,0,0.0,0.0
409,Áine O'Gorman,MF,IE,Rep. of Ireland,34,1989,0.6,0,0,0,0.0,0.0
410,Kelley O'Hara,DF,US,USA,34,1988,0.1,0,0,0,0.0,0.0
411,Denise O'Sullivan,MF,IE,Rep. of Ireland,29,1994,3,0,4,0,0.0,0.0
412,Lena Oberdorf,MF,DE,Germany,21,2001,2,0,4,1,0.0,0.0
413,Glory Ogbonna,DF,NG,Nigeria,24,1998,0.2,0,0,0,0.0,0.0
414,Osinachi Ohale,DF,NG,Nigeria,31,1991,4.3,1,1,1,1.0,1.0
415,Esther Okoronkwo,FW,NG,Nigeria,26,1997,0.4,0,0,0,0.0,0.0
416,Ifeoma Onumonu,FW,NG,Nigeria,29,1994,2.5,0,5,1,0.0,0.0
417,Desire Oparanozie,FW,NG,Nigeria,29,1993,0.1,0,0,0,0.0,0.0
418,Francisca Ordega,FW|MF,NG,Nigeria,29,1993,1.2,0,2,0,0.0,0.0
419,Benedetta Orsi,DF,IT,Italy,23,2000,1,0,0,0,0.0,0.0
420,Ochumba Oseke,MF,ZM,Zambia,21,2001,0.4,0,0,0,0.0,0.0
421,Asisat Oshoala,FW,NG,Nigeria,28,1994,2.7,1,10,3,0.1,0.333
422,Diana Ospina,MF,CO,Colombia,34,1989,2.5,0,3,1,0.0,0.0
423,Sakina Ouzraoui,MF,MA,Morocco,21,2001,4,0,1,0,0.0,0.0
424,Salma Paralluelo,FW,ES,Spain,19,2003,5.1,2,19,6,0.105,0.333
425,Irene Paredes,DF,ES,Spain,31,1991,7.3,0,9,1,0.0,0.0
426,María Paula Elizondo,DF|MF,CR,Costa Rica,24,1998,1.6,0,0,0,0.0,0.0
427,Heather Payne,MF|DF,IE,Rep. of Ireland,23,2000,1.9,0,1,0,0.0,0.0
428,Toni Payne,MF,NG,Nigeria,28,1995,4.2,0,3,0,0.0,0.0
429,Victoria Pelova,FW|MF,NL,Netherlands,24,1999,4.8,0,1,0,0.0,0.0
430,Ria Percival,MF,NZ,New Zealand,33,1989,2.7,0,3,1,0.0,0.0
431,Inês Pereira,GK,PT,Portugal,24,1999,2,0,0,0,0.0,0.0
432,Catalina Pérez,GK,CO,Colombia,28,1994,4.7,0,0,0,0.0,0.0
433,María Pérez,MF,ES,Spain,21,2001,0.3,0,0,0,0.0,0.0
434,Ève Périsset,DF,FR,France,28,1994,2.9,0,2,0,0.0,0.0
435,Betina Petit-Frère,DF,HT,Haiti,19,2003,3,0,0,0,0.0,0.0
436,Pauline Peyraud-Magnin,GK,FR,France,31,1992,5.3,0,0,0,0.0,0.0
437,Casey Phair,FW|DF,KR,Korea Republic,15,2007,1.2,0,2,1,0.0,0.0
438,Vast Phiri,DF,ZM,Zambia,27,1996,0.3,0,0,0,0.0,0.0
439,Dayana Pierre-Louis,MF,HT,Haiti,19,2003,2.6,0,0,0,0.0,0.0
440,Alexandra Pinell,MF,CR,Costa Rica,20,2002,0.2,0,0,0,0.0,0.0
441,Fátima Pinto,MF,PT,Portugal,27,1996,1,0,1,0,0.0,0.0
442,Tatiana Pinto,MF,PT,Portugal,29,1994,3,0,0,0,0.0,0.0
443,Yomira Pinzón,DF,PA,Panama,26,1996,3,1,0,0,0.0,0.0
444,Seraina Piubel,MF|FW,CH,Switzerland,23,2000,3.7,1,5,3,0.2,0.333
445,Ashleigh Plumptre,DF,NG,Nigeria,25,1998,4.2,0,5,1,0.0,0.0
446,Clare Polkinghorne,DF,AU,Australia,34,1989,2,0,3,1,0.0,0.0
447,Alexandra Popp,FW|MF,DE,Germany,32,1991,2.9,4,14,7,0.286,0.571
448,Atlanta Primus,MF|FW,JM,Jamaica,26,1997,3.2,0,6,0,0.0,0.0
449,Nichelle Prince,FW,CA,Canada,28,1995,0.1,0,0,0,0.0,0.0
450,Alexia Putellas,MF,ES,Spain,29,1994,2.4,0,5,1,0.0,0.0
451,Chen Qiaozhu,DF,CN,China PR,23,1999,3,0,2,1,0.0,0.0
452,Quinley Quezada,MF,PH,Philippines,26,1997,2.4,0,0,0,0.0,0.0
453,Quinn,MF,CA,Canada,27,1995,2.9,0,2,0,0.0,0.0
454,Louise Quinn,DF,IE,Rep. of Ireland,32,1990,3,0,2,0,0.0,0.0
455,Lucy Quinn,FW,IE,Rep. of Ireland,29,1993,0.8,0,0,0,0.0,0.0
456,Aldrith Quintero,MF,PA,Panama,21,2002,2.2,0,1,0,0.0,0.0
457,Rafaelle,DF,BR,Brazil,31,1991,3,0,1,0,0.0,0.0
458,Lebohang Ramalepe,DF,ZA,South Africa,31,1991,4,0,0,0,0.0,0.0
459,Mayra Ramírez,FW,CO,Colombia,24,1999,5,0,12,2,0.0,0.0
460,Mónica Ramos,DF,CO,Colombia,24,1998,0,0,0,0,0.0,0.0
461,Dominique Randle,DF|MF,PH,Philippines,28,1994,0.6,0,0,0,0.0,0.0
462,Megan Rapinoe,FW,US,USA,37,1985,0.9,0,4,0,0.0,0.0
463,Hayley Raso,MF,AU,Australia,28,1994,6.2,3,10,6,0.3,0.5
464,Felicitas Rauch,DF,DE,Germany,27,1996,1,0,1,0,0.0,0.0
465,Sílvia Rebelo,DF,PT,Portugal,34,1989,0,0,0,0,0.0,0.0
466,Alba Redondo,FW,ES,Spain,26,1996,4.4,3,17,8,0.176,0.375
467,Zineb Redouani,DF,MA,Morocco,23,2000,4,0,1,1,0.0,0.0
468,Guro Reiten,MF,NO,Norway,28,1994,4,2,8,3,0.25,0.667
469,Wendie Renard,DF,FR,France,32,1990,4.3,1,4,1,0.25,1.0
470,Gabi Rennie,FW,NZ,New Zealand,21,2001,0.1,0,0,0,0.0,0.0
471,Marcela Restrepo,MF|FW,CO,Colombia,24,1999,0.2,0,0,0,0.0,0.0
472,Géraldine Reuteler,MF,CH,Switzerland,24,1999,3.1,0,3,2,0.0,0.0
473,Marion Rey,MF,CH,Switzerland,24,1999,0,0,0,0,0.0,0.0
474,Nadine Riesen,DF,CH,Switzerland,23,2000,2.9,0,1,0,0.0,0.0
475,Ali Riley,DF,NZ,New Zealand,35,1987,3,0,0,0,0.0,0.0
476,Indiah-Paige Riley,MF|FW,NZ,New Zealand,21,2001,2,0,3,1,0.0,0.0
477,Karla Riley,FW,PA,Panama,25,1997,0.9,0,0,0,0.0,0.0
478,Jayde Riviere,DF,CA,Canada,22,2001,2.3,0,0,0,0.0,0.0
479,Trinity Rodman,FW,US,USA,21,2002,2.6,0,7,3,0.0,0.0
480,Misa Rodríguez,GK,ES,Spain,23,1999,3,0,0,0,0.0,0.0
481,Raquel Rodríguez,MF,CR,Costa Rica,29,1993,1.3,0,1,0,0.0,0.0
482,Yamila Rodríguez,FW|MF,AR,Argentina,25,1998,0.6,0,1,0,0.0,0.0
483,Fridolina Rolfö,FW|MF,SE,Sweden,29,1993,5.5,3,10,3,0.3,1.0
484,Sophie Román Haug,FW,NO,Norway,24,1999,2.8,3,13,6,0.231,0.5
485,Jill Roord,MF,NL,Netherlands,26,1997,4.6,4,18,7,0.222,0.571
486,Deanne Rose,FW,CA,Canada,24,1999,1,0,1,1,0.0,0.0
487,Elin Rubensson,MF,SE,Sweden,30,1993,6.4,1,6,1,0.167,1.0
488,Zhang Rui,MF,CN,China PR,34,1989,1.3,0,2,0,0.0,0.0
489,Alessia Russo,FW,EN,England,24,1999,5.8,3,22,12,0.136,0.25
490,Ana Rute,MF,PT,Portugal,25,1998,0,0,1,0,0.0,0.0
491,Johanna Rytting Kaneryd,FW|DF,SE,Sweden,26,1997,5.6,0,2,1,0.0,0.0
492,Adriana Sachs,DF,AR,Argentina,29,1993,1,0,0,0,0.0,0.0
493,Eunice Sakala,GK,ZM,Zambia,21,2002,1,0,0,0,0.0,0.0
494,María Paula Salas,FW,CR,Costa Rica,20,2002,1.8,0,1,0,0.0,0.0
495,Deysiré Salazar,MF,PA,Panama,19,2004,1.3,0,0,0,0.0,0.0
496,Gabriela Salgado,MF,ZA,South Africa,25,1998,0.4,0,0,0,0.0,0.0
497,Cecilia Salvai,DF,IT,Italy,29,1993,2,0,0,0,0.0,0.0
498,Duda Sampaio,MF,BR,Brazil,22,2001,0.3,0,2,0,0.0,0.0
499,Vyan Sampson,MF,JM,Jamaica,26,1996,3.9,0,2,1,0.0,0.0
500,Anna Sandberg,DF,SE,Sweden,20,2003,1,0,1,0,0.0,0.0
501,Leicy Santos,MF|FW,CO,Colombia,27,1996,4.2,1,9,3,0.111,0.333
502,Paige Satchell,FW,NZ,New Zealand,25,1998,0.1,0,0,0,0.0,0.0
503,Jaclyn Sawicki,MF,PH,Philippines,30,1992,2.8,0,0,0,0.0,0.0
504,Sophie Schmidt,MF,CA,Canada,34,1988,1.2,0,3,1,0.0,0.0
505,Olivia Schough,FW|MF,SE,Sweden,32,1991,1.4,0,3,1,0.0,0.0
506,Lea Schüller,FW|MF,DE,Germany,25,1997,1.6,1,4,1,0.25,1.0
507,Sheika Scott,FW,CR,Costa Rica,16,2006,1.3,0,3,0,0.0,0.0
508,Caroline Seger,MF,SE,Sweden,38,1985,0.8,0,1,1,0.0,0.0
509,Ana Seiça,DF,PT,Portugal,22,2001,1,0,0,0,0.0,0.0
510,Kiko Seike,DF|MF,JP,Japan,26,1996,0.5,0,3,2,0.0,0.0
511,Jang Sel-gi,DF,KR,Korea Republic,29,1994,3,0,1,0,0.0,0.0
512,Linda Sembrant,DF|FW,SE,Sweden,36,1987,0.3,0,0,0,0.0,0.0
513,Shim Seo-yeon,DF,KR,Korea Republic,34,1989,3,0,0,0,0.0,0.0
514,Lim Seon-joo,DF,KR,Korea Republic,32,1990,1,0,0,0,0.0,0.0
515,Jermaine Seoposenwe,FW|MF,ZA,South Africa,29,1993,3.3,0,4,2,0.0,0.0
516,Meryll Serrano,MF,PH,Philippines,25,1997,0.3,0,0,0,0.0,0.0
517,Annamaria Serturini,FW,IT,Italy,25,1998,0.4,0,0,0,0.0,0.0
518,Rikke Sevecke,DF,DK,Denmark,26,1996,3.7,0,0,0,0.0,0.0
519,Wang Shanshan,DF,CN,China PR,33,1990,3,0,1,0,0.0,0.0
520,Khadija Shaw,FW,JM,Jamaica,26,1997,3,0,7,1,0.0,0.0
521,Kailen Sheridan,GK,CA,Canada,27,1995,3,0,0,0,0.0,0.0
522,Marissa Sheva,FW|DF,IE,Rep. of Ireland,26,1997,1.1,0,0,0,0.0,0.0
523,Risa Shimizu,MF|DF,JP,Japan,26,1996,4.6,1,5,1,0.2,1.0
524,Wendy Shongwe,FW,ZA,South Africa,20,2003,0.7,0,2,1,0.0,0.0
525,Wang Shuang,FW|MF,CN,China PR,28,1995,1.8,2,3,1,0.667,2.0
526,Diana Silva,FW,PT,Portugal,28,1995,1.9,0,0,0,0.0,0.0
527,Dolores Silva,MF,PT,Portugal,31,1991,1.7,0,0,0,0.0,0.0
528,Jéssica Silva,FW,PT,Portugal,28,1994,2.8,0,6,1,0.0,0.0
529,Kameron Simmonds,FW|MF,JM,Jamaica,19,2003,0.2,0,0,0,0.0,0.0
530,Christine Sinclair,FW|MF,CA,Canada,40,1983,1.8,0,3,2,0.0,0.0
531,Olivia Smith,MF,CA,Canada,18,2004,0.1,0,1,1,0.0,0.0
532,Sophia Smith,FW,US,USA,22,2000,4,2,13,4,0.154,0.5
